# Time(in years),Distance from earth(AU),Angle between comet and sun(radians)
4.948870596673131672e+00,1.373454462262212949e+01,-1.187312542340889898e+00
5.038850062067188773e+00,1.334693592354646796e+01,-1.743743597855461402e+00
5.128829527461245874e+00,1.301277457766679291e+01,-2.323234657157712046e+00
5.218808992855302087e+00,1.289738954781343594e+01,-2.920838580355627823e+00
5.308788458249359188e+00,1.309957675772264807e+01,2.759744779847375984e+00
5.398767923643416289e+00,1.360247768191436890e+01,2.167590585078676746e+00
5.488747389037473390e+00,1.428341032817835021e+01,1.595664725468695533e+00
5.578726854431530491e+00,1.497217005407111934e+01,1.045101498128288453e+00
5.668706319825586704e+00,1.551194842403546836e+01,5.107082272526436428e-01
5.758685785219643805e+00,1.579761961372577517e+01,-1.568154922404391138e-02
5.848665250613700906e+00,1.579352768506723059e+01,-5.430843501043425281e-01
5.938644716007758007e+00,1.553886979227163856e+01,-1.080215328521217266e+00
6.028624181401815108e+00,1.514319409149754669e+01,-1.634266826598165911e+00
6.118603646795871320e+00,1.476726398818815689e+01,-2.208760354266576797e+00
6.208583112189928421e+00,1.458093472963233417e+01,-2.800756173607347410e+00
6.298562577583985522e+00,1.470008102488821677e+01,2.883227522624153938e+00
6.388542042978042623e+00,1.513269657988618810e+01,2.290510615538482675e+00
6.478521508372099724e+00,1.577549509597468003e+01,1.714488730772019132e+00
6.568500973766156825e+00,1.646308489026041144e+01,1.158030170111340018e+00
6.658480439160213038e+00,1.703055595144455125e+01,6.176518542510033294e-01
6.748459904554270139e+00,1.735838345976694086e+01,8.636987593486145087e-02
6.838439369948327240e+00,1.739557209396948778e+01,-4.440819482077193459e-01
6.928418835342384341e+00,1.716780889526793530e+01,-9.819333683382887035e-01
7.018398300736441442e+00,1.677429774527280415e+01,-1.534189536178453661e+00
7.108377766130497655e+00,1.637025722581871179e+01,-2.104795909420589695e+00
7.198357231524554756e+00,1.612800979474775076e+01,-2.692213111490330490e+00
7.288336696918611857e+00,1.617697921925919147e+01,2.994942795424653248e+00
7.378316162312668958e+00,1.654688228664982574e+01,2.402450939679379172e+00
7.468295627706726059e+00,1.715373116829070099e+01,1.823740436041711765e+00
7.558275093100783160e+00,1.783963916823115170e+01,1.262899970165398900e+00
7.648254558494839372e+00,1.843445564554558658e+01,7.178394838141143319e-01
7.738234023888896473e+00,1.880621831347985307e+01,1.826256825103730330e-01
7.828213489282953574e+00,1.888937860769424759e+01,-3.503179748472383670e-01
7.918192954677010675e+00,1.869600022815129137e+01,-8.887819640292377033e-01
8.008172420071067776e+00,1.831434139174097808e+01,-1.439591154706370224e+00
8.098151885465124877e+00,1.789310065825281981e+01,-2.006986270496898150e+00
8.188131350859181978e+00,1.760538673292865752e+01,-2.590481819757116000e+00
8.278110816253239079e+00,1.759160637757676682e+01,3.099633943644218625e+00
8.368090281647294404e+00,1.790091600858139742e+01,2.507752357238932639e+00
8.458069747041351505e+00,1.846842672277234954e+01,1.927111169798228829e+00
8.548049212435408606e+00,1.914569070200201750e+01,1.362695769780215560e+00
8.638028677829465707e+00,1.976038582164849444e+01,8.136262889194365577e-01
8.728008143223522808e+00,2.017013548852707672e+01,2.749435716795906592e-01
8.817987608617579909e+00,2.029570818348802064e+01,-2.602794554223485379e-01
8.907967074011637010e+00,2.013572480166903844e+01,-7.994301817080996519e-01
